scene_index,baseline_overlap_iou_sum,baseline_sg_consistency,baseline_active_objects,s0075_d025_i050_overlap_delta,s0075_d025_i050_consistency_drop,s0075_d025_i050_movement_mean,s0075_d025_i050_movement_max,s0075_d035_i050_overlap_delta,s0075_d035_i050_consistency_drop,s0075_d035_i050_movement_mean,s0075_d035_i050_movement_max,s0025_d015_i025_overlap_delta,s0025_d015_i025_consistency_drop,s0025_d015_i025_movement_mean,s0025_d015_i025_movement_max,s0025_d025_i050_overlap_delta,s0025_d025_i050_consistency_drop,s0025_d025_i050_movement_mean,s0025_d025_i050_movement_max,s0050_d025_i050_overlap_delta,s0050_d025_i050_consistency_drop,s0050_d025_i050_movement_mean,s0050_d025_i050_movement_max,s0075_d015_i050_overlap_delta,s0075_d015_i050_consistency_drop,s0075_d015_i050_movement_mean,s0075_d015_i050_movement_max,s0075_d025_i025_overlap_delta,s0075_d025_i025_consistency_drop,s0075_d025_i025_movement_mean,s0075_d025_i025_movement_max,s0075_d025_i075_overlap_delta,s0075_d025_i075_consistency_drop,s0075_d025_i075_movement_mean,s0075_d025_i075_movement_max
28,0.03302474048516469,1.0,3,-0.004423863479960318,0.0,0.024999999999999984,0.07499999999999996,-0.004423863479960318,0.0,0.024999999999999984,0.07499999999999996,-0.007352115817544639,0.0,0.04166666666666675,0.12500000000000025,-0.007352115817544639,0.0,0.041666666666666664,0.125,-0.005890076678971578,0.0,0.03333333333333333,0.1,-0.004423863479960318,0.0,0.025000000000000005,0.07500000000000001,-0.004423863479960318,0.0,0.025000000000000005,0.07500000000000001,-0.004423863479960318,0.0,0.025000000000000005,0.07500000000000001
29,0.6004374510241467,1.0,7,-0.2676446352402314,0.0,0.0642857142857143,0.2250000000000001,-0.3530644721594204,0.0,0.08571428571428573,0.3000000000000001,-0.16756381681069155,0.0,0.04285714285714285,0.15,-0.29757965545899145,0.0,0.07142857142857142,0.24999999999999997,-0.2975796554589917,0.0,0.07142857142857142,0.24999999999999997,-0.16756381681069143,0.0,0.04285714285714286,0.15,-0.2676446352402314,0.0,0.0642857142857143,0.225,-0.2676446352402314,0.0,0.0642857142857143,0.225
30,0.2713596441882598,1.0,3,-0.1581558238808253,0.0,0.2291975656092566,0.23765475863063515,-0.2345576407722728,0.0,0.2902992977353464,0.3463306216560563,-0.09768224091474009,0.0,0.09650565135695453,0.14998488913517416,-0.18864333153092344,0.0,0.24932284400896784,0.24999308247943494,-0.17869076763510616,0.0,0.24736867872561805,0.25,-0.09637139754009774,0.0,0.0934667891140128,0.15,-0.1581558238808253,0.0,0.22919756560925672,0.23765475863063537,-0.1581558238808253,0.0,0.22919756560925672,0.23765475863063537
31,0.007896621961859137,0.8571428571428571,7,-0.00607007304369958,-0.07142857142857151,0.053561315488251424,0.14992920841775995,-0.00607007304369958,-0.07142857142857151,0.053561315488251424,0.14992920841775995,-0.006377188241837866,0.0,0.03213116694132174,0.07491850203929727,-0.006377188241837866,0.0,0.032131166941321676,0.07491850203929723,-0.005803298991525915,0.0,0.02953939320808501,0.056775752456595094,-0.00607007304369958,-0.07142857142857151,0.053561315488251424,0.14992920841775995,-0.00607007304369958,-0.07142857142857151,0.053561315488251424,0.14992920841775995,-0.00607007304369958,-0.07142857142857151,0.053561315488251424,0.14992920841775995
32,0.20503009781334028,1.0,5,-0.07508956380606727,0.0,0.1272270911319995,0.22500000000000012,-0.10809750747684249,0.0,0.18626521343401517,0.3313264302856887,-0.03612097877832532,0.0,0.07499997038439994,0.12500000000000003,-0.07931657645543477,0.0,0.14999937861858514,0.25,-0.08208378525973169,0.0,0.14385126366038453,0.25,-0.04860124113074302,0.0,0.08362711161162413,0.15,-0.07508956380606727,0.0,0.12722709113199945,0.22500000000000003,-0.07508956380606727,0.0,0.12722709113199945,0.22500000000000003
33,0.39633605828526536,1.0,4,-0.1723423457699533,0.0,0.14994173767517505,0.225,-0.20209277150414512,0.0,0.1686125148525638,0.2999999999999999,-0.09107891652929434,0.0,0.08749504733093451,0.12499999999999996,-0.19233777940436575,0.0,0.1499950473309345,0.25,-0.19233777940436575,0.0,0.14999595905614563,0.25,-0.05426140842120902,0.0,0.075,0.15,-0.1723423457699533,0.0,0.14994173767517507,0.225,-0.1723423457699533,0.0,0.14994173767517507,0.225
34,0.04746848258216046,0.9166666666666666,6,-0.007052396033973542,0.0,0.024999999999999994,0.07500000000000007,-0.007052396033973542,0.0,0.024999999999999994,0.07500000000000007,-0.007052396033973542,0.0,0.020833333333333367,0.07500000000000007,-0.007052396033973542,0.0,0.020833333333333332,0.07500000000000001,-0.007052396033973542,0.0,0.025000000000000005,0.1,-0.007052396033973542,0.0,0.024999999999999998,0.075,-0.007052396033973542,0.0,0.024999999999999998,0.075,-0.007052396033973542,0.0,0.024999999999999998,0.075
35,0.0670133985962468,1.0,5,-0.017202437900899994,0.0,0.06770152719359294,0.2250000000000001,-0.017202437900899994,0.0,0.06770152719359294,0.2250000000000001,-0.017202437900899994,0.0,0.06468152238957443,0.12499999999999996,-0.017202437900899994,0.0,0.06027765727679122,0.225,-0.017202437900899994,0.0,0.06502276352615387,0.20000000000000004,-0.017202437900899994,0.0,0.06770152719359293,0.15,-0.017202437900899994,0.0,0.06770152719359293,0.225,-0.017202437900899994,0.0,0.06770152719359293,0.225
36,0.14252956675564363,0.8571428571428571,6,-0.08877847171395595,0.0,0.11586890079288613,0.24563475551882438,-0.08877847171395595,0.0,0.09023782105103585,0.316426926306215,-0.06986988669615023,0.0,0.09921989922239242,0.1499999999999995,-0.0896522273286281,0.0,0.10390949669134071,0.24856942944579552,-0.08444075432660167,0.0,0.11821101084908425,0.20945943012072835,-0.06388734443976875,0.0,0.08412881819317276,0.14991296789198133,-0.08877847171395595,0.0,0.11586890079288614,0.24563475551882438,-0.08877847171395595,0.0,0.11586890079288614,0.24563475551882438
37,0.11899179227030213,0.6666666666666666,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
