scene_id,layout_variant,source_config_id,n_objects,changed_objects,total_xz_movement,max_xz_movement,budget_total,budget_max
bedroom:0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,random_movement_matched_seed0,eg06_random_seed0,7,0,0.0,0.0,0.0,0.0
bedroom:0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,random_movement_matched_seed1,eg06_random_seed1,7,0,0.0,0.0,0.0,0.0
bedroom:0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,random_movement_matched_seed2,eg06_random_seed2,7,0,0.0,0.0,0.0,0.0
bedroom:0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,generic_relation_optimizer,eg06_generic_budget_matched,7,0,0.0,0.0,0.0,0.0
bedroom:10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,4,0,0.0,0.0,0.0,0.0
bedroom:10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,random_movement_matched_seed0,eg06_random_seed0,4,0,0.0,0.0,0.0,0.0
bedroom:10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,random_movement_matched_seed1,eg06_random_seed1,4,0,0.0,0.0,0.0,0.0
bedroom:10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,random_movement_matched_seed2,eg06_random_seed2,4,0,0.0,0.0,0.0,0.0
bedroom:10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,generic_relation_optimizer,eg06_generic_budget_matched,4,0,0.0,0.0,0.0,0.0
bedroom:12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,0,0.0,0.0,0.0,0.0
bedroom:12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,random_movement_matched_seed0,eg06_random_seed0,5,0,0.0,0.0,0.0,0.0
bedroom:12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,random_movement_matched_seed1,eg06_random_seed1,5,0,0.0,0.0,0.0,0.0
bedroom:12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,random_movement_matched_seed2,eg06_random_seed2,5,0,0.0,0.0,0.0,0.0
