room,variant,relation,n,baseline_acc,repair_acc,gain
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,1,42,0.4523809523809524,0.8095238095238095,0.35714285714285715
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,2,50,0.64,0.72,0.07999999999999996
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,3,20,0.8,0.9,0.09999999999999998
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,4,21,0.7142857142857143,0.9047619047619048,0.19047619047619047
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,6,53,0.4339622641509434,0.7169811320754716,0.28301886792452824
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,7,36,0.4722222222222222,0.6666666666666666,0.19444444444444442
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,8,19,0.631578947368421,0.8947368421052632,0.26315789473684215
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,9,13,0.9230769230769231,1.0,0.07692307692307687
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,0,1,1.0,1.0,0.0
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,1,42,0.4523809523809524,0.5952380952380952,0.14285714285714285
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,2,50,0.64,0.68,0.040000000000000036
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,3,20,0.8,0.9,0.09999999999999998
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,4,21,0.7142857142857143,0.7619047619047619,0.04761904761904756
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,5,14,0.9285714285714286,0.9285714285714286,0.0
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,6,53,0.4339622641509434,0.5660377358490566,0.13207547169811318
