room,setting,scenes,relations,graph_acc,baseline_acc,repaired_acc,gain,easy_repaired_acc,parser_recall,parser_precision,repair_edits,repair_skipped,avg_move,layout_overlap_ratio,repair_overlap_ratio,overlap_delta,layout_oob,repair_oob
livingroom,close0.75_far1.6,192,294,0.5272108843537415,0.5510204081632653,0.7414965986394558,0.19047619047619058,0.7551020408163265,0.43197278911564624,0.5545851528384279,73,87,2.5058597926106496,0.1399313787549834,0.13484102793362554,-0.005090350821357864,0.0,0.0
livingroom,close0.75_far2.00,192,294,0.5272108843537415,0.5510204081632653,0.7448979591836735,0.19387755102040827,0.7585034013605442,0.43197278911564624,0.5545851528384279,72,87,2.726129205856422,0.1399313787549834,0.133644112904104,-0.006287265850879409,0.0,0.0
livingroom,close1.00_far1.60,192,294,0.5272108843537415,0.5510204081632653,0.7074829931972789,0.15646258503401367,0.7585034013605442,0.43197278911564624,0.5545851528384279,82,87,2.283466626360314,0.1399313787549834,0.13500418302147976,-0.004927195733503642,0.0,0.0
livingroom,close1.00_far2.00,192,294,0.5272108843537415,0.5510204081632653,0.7108843537414966,0.15986394557823136,0.7619047619047619,0.43197278911564624,0.5545851528384279,81,87,2.4546161029429503,0.1399313787549834,0.13374025094715047,-0.00619112780783293,0.0,0.0
diningroom,close0.50_far1.30,177,269,0.587360594795539,0.5947955390334573,0.7843866171003717,0.18959107806691444,0.7881040892193308,0.483271375464684,0.5508474576271186,65,72,2.0424730812376857,0.15540338238111207,0.15502804945253124,-0.00037533292858082934,0.0,0.0
diningroom,close0.50_far1.60,177,269,0.587360594795539,0.5947955390334573,0.7843866171003717,0.18959107806691444,0.7881040892193308,0.483271375464684,0.5508474576271186,64,72,2.1276679169242443,0.15540338238111207,0.15507541147109774,-0.00032797091001432466,0.0,0.0
diningroom,close0.75_far1.30,177,269,0.587360594795539,0.5947955390334573,0.7806691449814126,0.18587360594795532,0.7881040892193308,0.483271375464684,0.5508474576271186,65,72,2.049145351598912,0.15540338238111207,0.15408938873472688,-0.001313993646385181,0.0,0.0
diningroom,close0.75_far1.6,177,269,0.587360594795539,0.5947955390334573,0.7843866171003717,0.18959107806691444,0.79182156133829,0.483271375464684,0.5508474576271186,64,72,2.1341270502808545,0.15540338238111207,0.15416181194765669,-0.00124157043345538,0.0,0.0
diningroom,close0.75_far2.00,177,269,0.587360594795539,0.5947955390334573,0.7843866171003717,0.18959107806691444,0.79182156133829,0.483271375464684,0.5508474576271186,64,72,2.27886475823231,0.15540338238111207,0.15287084576178464,-0.0025325366193274246,0.0,0.0
diningroom,close1.00_far1.60,177,269,0.587360594795539,0.5947955390334573,0.7286245353159851,0.13382899628252787,0.7955390334572491,0.483271375464684,0.5508474576271186,78,72,1.8539919077318046,0.15540338238111207,0.1538515435648663,-0.0015518388162457653,0.0,0.0
diningroom,close1.00_far2.00,177,269,0.587360594795539,0.5947955390334573,0.7286245353159851,0.13382899628252787,0.7992565055762082,0.483271375464684,0.5508474576271186,78,72,1.9719831563284043,0.15540338238111207,0.15246876576896487,-0.002934616612147195,0.0,0.0
